home_games,home_win_rate,home_draw_rate,home_loss_rate,home_points_per_game,home_goals_for_per_game,home_goals_against_per_game,home_goal_diff_per_game,home_home_goals_for_per_game,home_home_goals_against_per_game,home_away_goals_for_per_game,home_away_goals_against_per_game,home_recent_points_per_game,home_recent_goals_for,home_recent_goals_against,home_elo,away_games,away_win_rate,away_draw_rate,away_loss_rate,away_points_per_game,away_goals_for_per_game,away_goals_against_per_game,away_goal_diff_per_game,away_home_goals_for_per_game,away_home_goals_against_per_game,away_away_goals_for_per_game,away_away_goals_against_per_game,away_recent_points_per_game,away_recent_goals_for,away_recent_goals_against,away_elo,games_diff,points_per_game_diff,goal_diff_per_game_diff,recent_points_per_game_diff,elo_diff,h2h_games,h2h_home_win_rate,h2h_draw_rate,h2h_goal_diff_per_game,is_world_cup,is_knockout,is_neutral_site,competition,stage,match_id,match_datetime_utc,match_date,home_team,away_team,FTHG,FTAG,FTR,home_shots,away_shots,home_sot,away_sot,source
2.0,0.5,0.5,0.0,2.0,1.0,0.5,0.5,0.0,0.0,1.0,0.5,0.4,1.0,0.5,1517.864,2.0,0.0,0.5,0.5,0.5,0.5,1.0,-0.5,1.0,2.0,0.0,0.0,0.1,0.5,1.0,1482.136,0.0,1.5,1.0,0.30000000000000004,35.728000000000065,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48841,2002-06-11T06:30:00+00:00,2002-06-11,Senegal,Uruguay,3,3,D,5.0,15.0,3.0,5.0,espn
2.0,0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.4,1.0,0.5,1516.652,2.0,0.5,0.5,0.0,2.0,4.5,0.5,4.0,4.5,0.5,0.0,0.0,0.4,4.5,0.5,1522.394,0.0,0.0,-3.5,0.0,-5.741999999999962,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48842,2002-06-11T11:30:00+00:00,2002-06-11,Cameroon,Germany,0,2,A,7.0,11.0,5.0,5.0,espn
2.0,0.0,0.0,1.0,0.0,0.0,4.5,-4.5,0.0,0.0,0.0,4.5,0.0,0.0,4.5,1459.742,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1501.212,0.0,-1.0,-4.5,-0.2,-41.47000000000003,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48843,2002-06-11T11:30:00+00:00,2002-06-11,Saudi Arabia,Republic of Ireland,0,3,A,9.0,9.0,5.0,5.0,espn
1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1482.136,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.1,1.0,1.0,1500.0,0.0,-1.0,-1.0,-0.1,-17.864000000000033,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48845,2002-06-12T06:30:00+00:00,2002-06-12,Nigeria,England,0,0,D,10.0,18.0,5.0,6.0,espn
1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,1.0,1.0,1500.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3,1.0,0.0,1517.864,0.0,-2.0,-1.0,-0.19999999999999998,-17.864000000000033,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48844,2002-06-12T06:30:00+00:00,2002-06-12,Sweden,Argentina,1,1,D,5.0,15.0,3.0,3.0,espn
2.0,0.0,0.0,1.0,0.0,0.5,2.0,-1.5,0.0,0.0,0.5,2.0,0.0,0.5,2.0,1463.374,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.1,2.0,2.0,1500.0,1.0,-1.0,-1.5,-0.1,-36.625999999999976,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48847,2002-06-12T11:30:00+00:00,2002-06-12,Slovenia,Paraguay,1,3,A,19.0,21.0,13.0,12.0,espn
2.0,0.5,0.5,0.0,2.0,1.5,1.0,0.5,1.0,0.0,2.0,2.0,0.4,1.5,1.0,1516.848,1.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.3,3.0,1.0,1519.778,1.0,-1.0,-1.5,0.10000000000000003,-2.9300000000000637,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48846,2002-06-12T11:30:00+00:00,2002-06-12,South Africa,Spain,2,3,A,7.0,11.0,3.0,7.0,espn
2.0,0.5,0.5,0.0,2.0,1.5,0.5,1.0,1.0,1.0,2.0,0.0,0.4,1.5,0.5,1517.85,2.0,1.0,0.0,0.0,3.0,3.0,0.5,2.5,3.0,0.5,0.0,0.0,0.6,3.0,0.5,1538.922,0.0,-1.0,-1.5,-0.19999999999999996,-21.072000000000116,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48848,2002-06-13T06:30:00+00:00,2002-06-13,Costa Rica,Brazil,2,5,A,17.0,13.0,9.0,8.0,espn
2.0,0.0,0.5,0.5,0.5,1.0,1.5,-0.5,0.0,0.0,1.0,1.5,0.1,1.0,1.5,1484.064,2.0,0.0,0.0,1.0,0.0,0.0,3.0,-3.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,1459.164,0.0,0.5,2.5,0.1,24.90000000000009,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48849,2002-06-13T06:30:00+00:00,2002-06-13,Türkiye,China,3,0,H,17.0,5.0,9.0,3.0,espn
2.0,0.0,0.0,1.0,0.0,0.5,2.0,-1.5,0.0,0.0,0.5,2.0,0.0,0.5,2.0,1464.286,2.0,0.5,0.0,0.5,1.5,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.3,1.0,1.0,1501.928,0.0,-1.5,-1.5,-0.3,-37.64200000000005,0.0,0.0,0.0,0.0,1.0,0.0,1.0,FIFA/World Cup,group-stage,48851,2002-06-13T11:30:00+00:00,2002-06-13,Ecuador,Croatia,1,0,H,8.0,10.0,4.0,3.0,espn
